ID;Maschine;Datum;Uhrzeit;Drehzahl;Leistungsaufnahme;Vibration;Lautstaerke;Temperatur;FehlerID;Produktionsprogramm;SollMenge;IstMenge;Ausschuss
ABC100001;XL400_01;2018-01-01;00:00:30;100;18.473;0.011;74.925;100;0000;PP001;2350;2350;19
ABC100002;XL400_01;2018-01-01;00:01:00;100;18.569;0.172;75.033;100;0000;PP001;2350;2350;6
ABC100003;XL400_01;2018-01-01;00:01:30;100;18.431;-0.072;75.048;100;0000;PP001;2350;2350;0
ABC100004;XL400_01;2018-01-01;00:02:00;100;18.545;0.089;74.953;100;0000;PP001;2350;2350;6
ABC100005;XL400_01;2018-01-01;00:02:30;100;18.553;-0.188;75.008;100;0000;PP001;2350;2350;1
ABC100006;XL400_01;2018-01-01;00:03:00;100;18.435;0.005;75.003;100;0000;PP001;2350;2350;10
ABC100007;XL400_01;2018-01-01;00:03:30;100;18.593;-0.043;75.038;100;0000;PP001;2350;2350;5
ABC100008;XL400_01;2018-01-01;00:04:00;100;18.623;0.064;75.076;100;0000;PP001;2350;2350;9
ABC100009;XL400_01;2018-01-01;00:04:30;100;18.353;0.013;75.064;100;0000;PP001;2350;2350;8
ABC100010;XL400_01;2018-01-01;00:05:00;100;18.278;-0.055;75.079;100;0000;PP001;2350;2350;8
ABC100011;XL400_01;2018-01-01;00:05:30;100;18.474;-0.033;75.22;100;0000;PP001;2350;2350;4
ABC100012;XL400_01;2018-01-01;00:06:00;100;18.374;0.133;74.933;100;0000;PP001;2350;2350;13
ABC100013;XL400_01;2018-01-01;00:06:30;100;18.416;0.039;75.077;100;0000;PP001;2350;2350;13
ABC100014;XL400_01;2018-01-01;00:07:00;100;18.442;0.223;75.034;100;0000;PP001;2350;2350;5
ABC100015;XL400_01;2018-01-01;00:07:30;100;18.346;-0.029;75.068;100;0000;PP001;2350;2350;18
ABC100016;XL400_01;2018-01-01;00:08:00;100;18.591;0.012;74.973;100;0000;PP001;2350;2350;19
ABC100017;XL400_01;2018-01-01;00:08:30;100;18.573;-0.095;74.723;100;0000;PP001;2350;2350;13
ABC100018;XL400_01;2018-01-01;00:09:00;100;18.638;-0.0;75.016;100;0000;PP001;2350;2350;14
ABC100019;XL400_01;2018-01-01;00:09:30;100;18.386;0.008;75.026;100;0000;PP001;2350;2350;4
ABC100020;XL400_01;2018-01-01;00:10:00;100;18.385;0.042;75.123;100;0000;PP001;2350;2350;9
ABC100021;XL400_01;2018-01-01;00:10:30;100;18.497;0.047;75.027;100;0000;PP001;2350;2350;9
ABC100022;XL400_01;2018-01-01;00:11:00;100;18.636;-0.06;74.882;100;0000;PP001;2350;2350;18
ABC100023;XL400_01;2018-01-01;00:11:30;100;18.381;0.002;75.003;100;0000;PP001;2350;2350;9
ABC100024;XL400_01;2018-01-01;00:12:00;100;18.424;0.049;74.955;100;0000;PP001;2350;2350;19
ABC100025;XL400_01;2018-01-01;00:12:30;100;18.478;-0.193;75.055;100;0000;PP001;2350;2350;9
ABC100026;XL400_01;2018-01-01;00:13:00;100;18.56;-0.22;75.038;100;0000;PP001;2350;2350;12
ABC100027;XL400_01;2018-01-01;00:13:30;100;18.521;-0.0;74.994;100;0000;PP001;2350;2350;10
ABC100028;XL400_01;2018-01-01;00:14:00;100;18.577;0.035;74.922;100;0000;PP001;2350;2350;10
ABC100029;XL400_01;2018-01-01;00:14:30;100;18.293;0.013;75.005;100;0000;PP001;2350;2350;0
ABC100030;XL400_01;2018-01-01;00:15:00;100;18.484;0.015;74.997;100;0000;PP001;2350;2350;1
ABC100031;XL400_01;2018-01-01;00:15:30;100;18.593;-0.07;74.971;100;0000;PP001;2350;2350;12
ABC100032;XL400_01;2018-01-01;00:16:00;100;18.536;0.038;75.147;100;0000;PP001;2350;2350;3
ABC100033;XL400_01;2018-01-01;00:16:30;100;18.383;0.116;75.003;100;0000;PP001;2350;2350;3
ABC100034;XL400_01;2018-01-01;00:17:00;100;18.432;0.0;75.336;100;0000;PP001;2350;2350;6
ABC100035;XL400_01;2018-01-01;00:17:30;100;18.355;-0.025;74.908;100;0000;PP001;2350;2350;6
ABC100036;XL400_01;2018-01-01;00:18:00;100;18.488;0.059;74.96;100;0000;PP001;2350;2350;12
ABC100037;XL400_01;2018-01-01;00:18:30;100;18.577;0.053;75.065;100;0000;PP001;2350;2350;17
ABC100038;XL400_01;2018-01-01;00:19:00;100;18.528;-0.039;74.939;100;0000;PP001;2350;2350;8
ABC100039;XL400_01;2018-01-01;00:19:30;100;18.603;-0.154;75.046;100;0000;PP001;2350;2350;16
ABC100040;XL400_01;2018-01-01;00:20:00;100;18.563;0.001;75.102;100;0000;PP001;2350;2350;3
ABC100041;XL400_01;2018-01-01;00:20:30;100;18.553;-0.077;75.003;100;0000;PP001;2350;2350;5
ABC100042;XL400_01;2018-01-01;00:21:00;100;18.352;-0.036;74.974;100;0000;PP001;2350;2350;5
ABC100043;XL400_01;2018-01-01;00:21:30;100;18.487;0.154;74.967;100;0000;PP001;2350;2350;10
ABC100044;XL400_01;2018-01-01;00:22:00;100;18.505;-0.168;75.085;100;0000;PP001;2350;2350;4
ABC100045;XL400_01;2018-01-01;00:22:30;100;18.691;0.069;75.026;100;0000;PP001;2350;2350;16
ABC100046;XL400_01;2018-01-01;00:23:00;100;18.676;0.149;75.118;100;0000;PP001;2350;2350;7
ABC100047;XL400_01;2018-01-01;00:23:30;100;18.585;-0.121;75.185;100;0000;PP001;2350;2350;6
ABC100048;XL400_01;2018-01-01;00:24:00;100;18.432;0.015;74.984;100;0000;PP001;2350;2350;12
ABC100049;XL400_01;2018-01-01;00:24:30;100;18.571;0.043;75.155;100;0000;PP001;2350;2350;10
ABC100050;XL400_01;2018-01-01;00:25:00;100;18.539;0.099;74.954;100;0000;PP001;2350;2350;0
ABC100051;XL400_01;2018-01-01;00:25:30;100;18.515;0.026;75.114;100;0000;PP001;2350;2350;5
ABC100052;XL400_01;2018-01-01;00:26:00;100;18.411;-0.05;74.995;100;0000;PP001;2350;2350;16
ABC100053;XL400_01;2018-01-01;00:26:30;100;18.53;-0.037;75.108;100;0000;PP001;2350;2350;0
ABC100054;XL400_01;2018-01-01;00:27:00;100;18.473;-0.014;75.054;100;0000;PP001;2350;2350;19
ABC100055;XL400_01;2018-01-01;00:27:30;100;18.597;-0.051;74.857;100;0000;PP001;2350;2350;2
ABC100056;XL400_01;2018-01-01;00:28:00;100;18.444;0.1;75.013;100;0000;PP001;2350;2350;10
ABC100057;XL400_01;2018-01-01;00:28:30;100;18.328;-0.121;75.057;100;0000;PP001;2350;2350;5
ABC100058;XL400_01;2018-01-01;00:29:00;100;18.511;0.19;75.082;100;0000;PP001;2350;2350;15
ABC100059;XL400_01;2018-01-01;00:29:30;100;18.533;0.028;74.839;100;0000;PP001;2350;2350;7
ABC100060;XL400_01;2018-01-01;00:30:00;100;18.596;0.032;74.964;100;0000;PP001;2350;2350;3
ABC100061;XL400_01;2018-01-01;00:30:30;100;18.496;-0.073;74.869;100;0000;PP001;2350;2350;3
ABC100062;XL400_01;2018-01-01;00:31:00;100;18.384;0.045;75.016;100;0000;PP001;2350;2350;16
ABC100063;XL400_01;2018-01-01;00:31:30;100;18.619;0.195;74.893;100;0000;PP001;2350;2350;0
ABC100064;XL400_01;2018-01-01;00:32:00;100;18.59;0.215;75.018;100;0000;PP001;2350;2350;7
ABC100065;XL400_01;2018-01-01;00:32:30;100;18.435;0.055;75.127;100;0000;PP001;2350;2350;14
ABC100066;XL400_01;2018-01-01;00:33:00;100;18.351;0.117;75.0;100;0000;PP001;2350;2350;10
ABC100067;XL400_01;2018-01-01;00:33:30;100;18.57;-0.084;74.991;100;0000;PP001;2350;2350;7
ABC100068;XL400_01;2018-01-01;00:34:00;100;18.634;0.078;75.16;100;0000;PP001;2350;2350;0
ABC100069;XL400_01;2018-01-01;00:34:30;100;18.503;0.096;74.976;100;0000;PP001;2350;2350;16
ABC100070;XL400_01;2018-01-01;00:35:00;100;18.452;-0.248;74.885;100;0000;PP001;2350;2350;16
ABC100071;XL400_01;2018-01-01;00:35:30;100;18.579;-0.156;75.175;100;0000;PP001;2350;2350;15
ABC100072;XL400_01;2018-01-01;00:36:00;100;18.577;-0.009;74.919;100;0000;PP001;2350;2350;15
ABC100073;XL400_01;2018-01-01;00:36:30;100;18.567;0.061;74.867;100;0000;PP001;2350;2350;2
ABC100074;XL400_01;2018-01-01;00:37:00;100;18.376;0.043;74.972;100;0000;PP001;2350;2350;16
ABC100075;XL400_01;2018-01-01;00:37:30;100;18.581;0.154;75.0;100;0000;PP001;2350;2350;4
ABC100076;XL400_01;2018-01-01;00:38:00;100;18.546;-0.11;75.23;100;0000;PP001;2350;2350;7
ABC100077;XL400_01;2018-01-01;00:38:30;100;18.361;0.023;75.175;100;0000;PP001;2350;2350;15
ABC100078;XL400_01;2018-01-01;00:39:00;100;18.486;0.06;74.868;100;0000;PP001;2350;2350;16
ABC100079;XL400_01;2018-01-01;00:39:30;100;18.459;-0.203;74.921;100;0000;PP001;2350;2350;11
ABC100080;XL400_01;2018-01-01;00:40:00;100;18.399;-0.037;74.969;100;0000;PP001;2350;2350;9
ABC100081;XL400_01;2018-01-01;00:40:30;100;18.693;-0.025;74.922;100;0000;PP001;2350;2350;11
ABC100082;XL400_01;2018-01-01;00:41:00;100;18.395;0.09;74.825;100;0000;PP001;2350;2350;13
ABC100083;XL400_01;2018-01-01;00:41:30;100;18.27;0.167;74.863;100;0000;PP001;2350;2350;0
ABC100084;XL400_01;2018-01-01;00:42:00;100;18.331;0.092;74.945;100;0000;PP001;2350;2350;17
ABC100085;XL400_01;2018-01-01;00:42:30;100;18.605;0.022;74.892;100;0000;PP001;2350;2350;14
ABC100086;XL400_01;2018-01-01;00:43:00;100;18.458;-0.072;75.015;100;0000;PP001;2350;2350;6
ABC100087;XL400_01;2018-01-01;00:43:30;100;18.469;0.008;74.845;100;0000;PP001;2350;2350;12
ABC100088;XL400_01;2018-01-01;00:44:00;100;18.67;-0.078;74.903;100;0000;PP001;2350;2350;0
ABC100089;XL400_01;2018-01-01;00:44:30;100;18.458;0.191;74.971;100;0000;PP001;2350;2350;9
ABC100090;XL400_01;2018-01-01;00:45:00;100;18.394;0.102;74.985;100;0000;PP001;2350;2350;4
ABC100091;XL400_01;2018-01-01;00:45:30;100;18.585;0.096;75.097;100;0000;PP001;2350;2350;13
ABC100092;XL400_01;2018-01-01;00:46:00;100;18.34;-0.086;74.963;100;0000;PP001;2350;2350;0
ABC100093;XL400_01;2018-01-01;00:46:30;100;18.574;-0.011;75.035;100;0000;PP001;2350;2350;0
ABC100094;XL400_01;2018-01-01;00:47:00;100;18.399;0.001;74.963;100;0000;PP001;2350;2350;12
ABC100095;XL400_01;2018-01-01;00:47:30;100;18.533;-0.024;74.982;100;0000;PP001;2350;2350;3
ABC100096;XL400_01;2018-01-01;00:48:00;100;18.598;-0.009;74.798;100;0000;PP001;2350;2350;14
ABC100097;XL400_01;2018-01-01;00:48:30;100;18.396;0.019;75.111;100;0000;PP001;2350;2350;8
ABC100098;XL400_01;2018-01-01;00:49:00;100;18.415;-0.112;75.043;100;0000;PP001;2350;2350;14
ABC100099;XL400_01;2018-01-01;00:49:30;100;18.55;0.013;75.098;100;0000;PP001;2350;2350;11
ABC100100;XL400_01;2018-01-01;00:50:00;100;18.545;-0.269;75.153;100;0000;PP001;2350;2350;9
ABC100101;XL400_01;2018-01-01;00:50:30;100;18.631;0.084;75.141;100;0000;PP001;2350;2350;4
